phi	theta	svalue
75	120	0.859084444444445
75	125	0.632056666666667
75	130	0.314363888888889
75	135	-0.336086111111111
75	140	-0.748113888888889
75	145	100
75	150	100
75	155	100
75	160	100
75	165	100
75	170	100
75	175	100
75	180	100
80	5	100
80	10	100
80	15	100
80	20	100
80	25	100
80	30	100
80	35	100
80	40	100
80	45	-0.2013
80	50	-0.502771428571429
80	55	-0.713125
80	60	-0.603546560846561
80	65	-0.276324338624339
80	70	0.151097883597884
80	75	0.720388888888889
80	80	1.01278888888889
80	85	1.24709333333333
80	90	0.862993333333333
80	95	0.52693
80	100	0.130075
80	105	0.136525
80	110	0.277688888888889
80	115	0.396262222222222
80	120	0.57221037037037
80	125	0.45276037037037
80	130	0.334187037037037
80	135	-0.12447619047619
80	140	-0.584515079365079
80	145	100
80	150	100
80	155	100
80	160	100
80	165	100
80	170	100
80	175	100
80	180	100
85	5	100
85	10	100
85	15	100
85	20	100
85	25	100
85	30	100
85	35	100
85	40	0.0896714285714286
85	45	-0.307571428571429
85	50	-0.6961
85	55	-0.749637777777778
85	60	-0.532439894179894
85	65	-0.234973227513228
85	70	0.0232156613756614
85	75	0.365317777777778
85	80	0.627151111111111
85	85	0.862993333333333
85	90	0.606926666666667
85	95	0.354682222222222
85	100	0.117444444444444
85	105	0.0981555555555556
85	110	0.132577777777778
85	115	0.156084444444444
85	120	0.249477037037037
85	125	0.212582592592593
85	130	0.201587037037037
85	135	-0.00303174603174604
85	140	-0.438048412698413
85	145	-0.877448412698413
85	150	100
85	155	100
85	160	100
85	165	100
85	170	100
85	175	100
85	180	100
90	5	100
90	10	100
90	15	100
90	20	100
90	25	100
90	30	100
90	35	100
90	40	-0.164351904761905
90	45	-0.535111904761905
90	50	-0.79122619047619
90	55	-0.650482222222222
90	60	-0.367180634920635
90	65	-0.0697139682539683
90	70	0.0907610317460317
90	75	0.238726111111111
90	80	0.372526111111111
90	85	0.5045
90	90	0.376466666666667
90	95	0.236477777777778
90	100	0.0766444444444444
90	105	0.0323333333333333
90	110	-0.0250444444444444
90	115	-0.0625777777777778
90	120	-0.0517407407407407
90	125	-0.0267185185185185
90	130	0.0483481481481482
90	135	0.0516017857142857
90	140	-0.295339880952381
90	145	-0.789664880952381
90	150	100
90	155	100
90	160	100
90	165	100
90	170	100
90	175	100
90	180	100
95	5	100
95	10	100
95	15	100
95	20	100
95	25	100
95	30	100
95	35	-0.0896725
95	40	-0.305540416666667
95	45	-0.569867916666667
95	50	-0.717667916666667
95	55	-0.501748888888889
95	60	-0.204282222222222
95	65	0.0443755555555556
95	70	0.107617222222222
95	75	0.113383888888889
95	80	0.118381666666667
95	85	0.1204
95	90	0.1204
95	95	0.0936222222222222
95	100	0.0368
95	105	-0.0325333333333333
95	110	-0.0750888888888889
95	115	-0.0876
95	120	-0.0876
95	125	-0.0876
95	130	-0.0375555555555556
95	135	0.01385625
95	140	-0.168310416666667
95	145	-0.634485416666667
95	150	-0.828669047619048
95	155	100
95	160	100
95	165	100
95	170	100
95	175	100
95	180	100
100	5	100
100	10	100
100	15	100
100	20	100
100	25	100
100	30	100
100	35	-0.255613125
100	40	-0.506794259259259
100	45	-0.671249259259259
100	50	-0.717667916666667
100	55	-0.398875
100	60	-0.064225
100	65	0.105791111111111
100	70	0.111077222222222
100	75	0.116843888888889
100	80	0.119919444444444
100	85	0.173691666666667
100	90	0.173691666666667
100	95	0.122847222222222
100	100	0.000222222222222221
100	105	-0.0691111111111111
100	110	-0.0876
100	115	-0.0876
100	120	-0.0876
100	125	-0.0876
100	130	-0.0625777777777778
100	135	-0.03071875
100	140	-0.0645354166666667
100	145	-0.477835416666667
100	150	-0.699585416666667
100	155	100
100	160	100
100	165	100
100	170	100
100	175	100
100	180	100
105	5	100
105	10	100
105	15	100
105	20	100
105	25	100
105	30	100
105	35	-0.251958928571429
105	40	-0.463311825396825
105	45	-0.617773333333333
105	50	-0.694054375
105	55	-0.400784375
105	60	-0.0740802083333333
105	65	0.0748392592592593
105	70	0.101794814814815
105	75	0.108984938271605
105	80	0.116029012345679
105	85	0.240376234567901
105	90	0.317071296296296
105	95	0.255713888888889
105	100	0.0620333333333333
105	105	-0.0783555555555556
105	110	-0.0876
105	115	-0.0876
105	120	-0.0876
105	125	-0.0876
105	130	-0.080537037037037
105	135	-0.0509229166666667
105	140	-0.0274729166666667
105	145	-0.27221875
105	150	-0.570261111111111
105	155	100
105	160	100
105	165	100
105	170	100
105	175	100
105	180	100
110	5	100
110	10	100
110	15	100
110	20	100
110	25	100
110	30	-0.178015151515152
110	35	-0.256300946969697
110	40	-0.45065462962963
110	45	-0.544001851851852
110	50	-0.591946875
110	55	-0.304971875
110	60	-0.0898177083333333
110	65	0.0174518518518519
110	70	0.0529074074074074
110	75	0.0685975308641975
110	80	0.0744882716049383
110	85	0.188413271604938
110	90	0.261412301587302
110	95	0.214820634920635
110	100	0.0442511904761905
110	105	-0.0797527777777778
110	110	-0.0876
110	115	-0.0876
110	120	-0.0876
110	125	-0.0876
110	130	-0.0699425925925926
110	135	-0.0321729166666667
110	140	-0.00165041666666667
110	145	-0.109965
110	150	-0.503424444444444
110	155	-0.6987125
110	160	100
110	165	100
110	170	100
110	175	100
110	180	100
115	5	100
115	10	100
115	15	100
115	20	100
115	25	100
115	30	-0.165339675602176
115	35	-0.0237676746093413
115	40	0.00911358024691357
115	45	-0.0338018518518519
115	50	-0.228830555555556
115	55	-0.224041666666667
115	60	-0.131949074074074
115	65	-0.0200798941798942
115	70	0.122071216931217
115	75	0.269005784832452
115	80	0.291328271604938
115	85	0.243343827160494
115	90	0.192592857142857
115	95	0.138571451914099
115	100	0.0444047852474323
115	105	-0.0659047385620915
115	110	-0.0876
115	115	-0.0876
115	120	-0.0876
115	125	-0.0849944444444444
115	130	-0.0461481481481481
115	135	0.00670833333333333
115	140	0.0226683333333333
115	145	0.01414125
115	150	-0.370907777777778
115	155	-0.6094
115	160	100
115	165	100
115	170	100
115	175	100
115	180	100
120	5	100
120	10	100
120	15	100
120	20	100
120	25	100
120	30	-0.203595538697414
120	35	0.136308595231929
120	40	0.273059294532628
120	45	0.318692592592593
120	50	0.00500555555555555
120	55	-0.0876
120	60	-0.055275
120	65	0.112796957671958
120	70	0.365003624338624
120	75	0.60943417989418
120	80	0.573190925925926
120	85	0.320984259259259
120	90	0.0935604497354497
120	95	0.00558387021475257
120	100	0.0190362511671335
120	105	0.0167878384687208
120	110	0.0200190476190476
120	115	0.100733333333333
120	120	0.088512962962963
120	125	0.0440351851851852
120	130	-0.00792592592592592
120	135	0.0100111111111111
120	140	0.0241977777777778
120	145	0.0132588888888889
120	150	-0.344534444444444
120	155	-0.72566
120	160	100
120	165	100
120	170	100
120	175	100
120	180	100
125	5	100
125	10	100
125	15	100
125	20	100
125	25	-0.271668664148352
125	30	-0.298846184710351
125	35	-0.0398378513770181
125	40	0.203145802469136
125	45	0.226155555555556
125	50	0.0443833333333333
125	55	0.0414111111111111
125	60	0.211341666666667
125	65	0.458548809523809
125	70	0.739333253968254
125	75	0.981141587301587
125	80	0.859043947368421
125	85	0.504349699002408
125	90	0.15092192122463
125	95	0.0214601774042951
125	100	0.0184223622782446
125	105	0.113600140056022
125	110	0.212119047619048
125	115	0.383233333333333
125	120	0.322402083333333
125	125	0.178152083333333
125	130	0.0135645833333333
125	135	0.00949444444444444
125	140	0.00705555555555556
125	145	-0.00371111111111111
125	150	-0.284804444444444
125	155	-0.645234074074074
125	160	-0.979202916666667
125	165	100
125	170	100
125	175	100
125	180	100
130	5	100
130	10	100
130	15	100
130	20	100
130	25	-0.415684325396825
130	30	-0.511500185185185
130	35	-0.42574462962963
130	40	-0.260862685185185
130	45	-0.0973587301587302
130	50	0.000317765567765548
130	55	0.22798315018315
130	60	0.426384781576448
130	65	0.714080508072175
130	70	0.86881975308642
130	75	0.787282407407407
130	80	0.447469688109162
130	85	0.103407106409815
130	90	-0.0851329902085421
130	95	-0.0303718330736234
130	100	0.0536091348691093
130	105	0.289199231487467
130	110	0.42001746031746
130	115	0.669086111111111
130	120	0.627427380952381
130	125	0.382777380952381
130	130	0.055452380952381
130	135	0.0200666666666667
130	140	-0.00413888888888889
130	145	-0.00413888888888889
130	150	-0.175565555555556
130	155	-0.520972037037037
130	160	-0.833840555555556
130	165	100
130	170	100
130	175	100
130	180	100
135	5	100
135	10	100
135	15	100
135	20	100
135	25	-0.639996783309283
135	30	-0.815887457912458
135	35	-0.847375
135	40	-0.515620833333333
135	45	-0.222967989417989
